70,0.0003854
80,0.000268
90,0.0002017
100,0.0001587
110,0.0001281
120,0.0001048
130,0.00008598
140,0.00006982
150,0.00005455
160,0.00003634
170,0.00001982
180,0.00001785
190,0.0000175
200,0.00001757
220,0.00001818
240,0.00001902
260,0.00001996
280,0.00002092
300,0.0000219
320,0.00002287
340,0.00002383
360,0.00002479
380,0.00002572
400,0.00002665
420,0.00002756
440,0.00002845
460,0.00002933
480,0.0000302
500,0.00003105
550,0.00003313
600,0.00003513
650,0.00003708
700,0.00003896
750,0.00004079
800,0.00004257
850,0.00004432
900,0.00004602
950,0.00004768
1000,0.00004931
1100,0.00005249
1200,0.00005556
1300,0.00005854
1400,0.00006144
